InventoryID,ProductID,BatchNo,StockLevel,ReorderLevel,ManufacturingDate,ExpiryDate,PlantLocation,WarehouseType,UnitCost
I001855,P02750,B01264,844,168,2023-05-18,2025-05-16,Ahmedabad,Secondary,7.15
I001856,P03402,B03323,17,188,2023-08-11,2025-11-09,Kolkata,Main,4.4
I001857,P08258,B04198,926,141,2023-08-03,2025-11-05,Chennai,Transit,6.34
I001858,P01532,B03278,944,53,2023-01-04,2025-09-29,Kolkata,Transit,8.33
I001859,P07835,B03354,964,200,2023-12-15,2026-10-05,Chennai,Secondary,8.63
I001860,P02327,B03346,693,199,2023-05-02,2025-10-29,Hyderabad,Main,4.03
I001861,P08386,B02746,749,176,2023-01-20,2024-08-18,Bangalore,Transit,1.15
I001862,P05343,B00112,51,103,2023-06-09,2025-01-27,Mumbai,Main,5.11
I001863,P06500,B04318,221,141,2023-12-26,2026-07-24,Hyderabad,Secondary,7.81
I001864,P02770,B04501,245,65,2023-09-15,2026-08-27,Hyderabad,Main,1.57
I001865,P01167,B03285,805,193,2023-02-27,2025-01-29,Mumbai,Secondary,2.13
I001866,P01895,B00660,235,108,2023-07-05,2026-06-15,Bangalore,Secondary,2.41
I001867,P09888,B04084,97,154,2023-11-27,2025-02-28,Chennai,Secondary,7.69
I001868,P05847,B00267,496,171,2023-01-15,2025-10-15,Chennai,Transit,3.13
I001869,P04467,B00876,16,166,2023-05-23,2025-05-25,Ahmedabad,Main,2.44
I001870,P08579,B00264,858,73,2023-10-15,2025-08-13,Pune,Transit,1.83
I001871,P05255,B02529,323,90,2023-05-09,2024-12-05,Hyderabad,Secondary,3.07
I001872,P06098,B01767,16,171,2023-09-01,2026-08-04,Mumbai,Main,1.93
I001873,P05484,B03401,770,127,2023-01-15,2024-11-18,Delhi,Secondary,5.31
I001874,P08721,B00808,261,81,2023-12-30,2025-05-03,Kolkata,Secondary,8.92
I001875,P01003,B01493,29,81,2023-09-28,2026-03-11,Mumbai,Secondary,6.57
I001876,P09828,B03811,975,54,2023-03-06,2025-09-12,Pune,Main,4.25
I001877,P05408,B04206,41,170,2023-11-05,2025-01-05,Hyderabad,Transit,2.91
I001878,P07621,B02572,119,174,2023-02-17,2025-07-05,Pune,Transit,3.42
I001879,P04545,B03166,782,103,2023-09-19,2025-09-29,Delhi,Main,6.2
I001880,P06229,B01881,48,160,2023-01-29,2025-01-09,Delhi,Secondary,9.8
I001881,P02386,B04279,838,143,2023-01-10,2024-09-22,Pune,Main,5.0
I001882,P04288,B02615,319,93,2023-10-05,2026-06-29,Bangalore,Transit,4.77
I001883,P01028,B00556,926,183,2023-09-13,2025-04-16,Chennai,Main,3.75
I001884,P06209,B00938,112,102,2023-03-10,2024-09-11,Kolkata,Transit,0.71
I001885,P07316,B04252,408,97,2023-11-07,2025-07-30,Mumbai,Transit,3.34
I001886,P04178,B04834,592,51,2023-08-15,2026-06-30,Kolkata,Secondary,0.53
I001887,P00928,B00921,290,199,2023-01-22,2025-01-30,Mumbai,Main,5.57
I001888,P06952,B00324,135,123,2023-07-12,2025-05-29,Mumbai,Transit,6.74
I001889,P07367,B01976,938,57,2023-07-06,2025-09-13,Delhi,Secondary,0.66
I001890,P01627,B00468,412,156,2023-01-16,2025-06-23,Ahmedabad,Secondary,9.22
I001891,P01742,B00378,645,142,2023-12-25,2026-03-01,Mumbai,Transit,9.62
I001892,P08710,B04015,428,55,2023-10-05,2025-02-01,Ahmedabad,Transit,8.27
I001893,P06321,B04123,251,128,2023-04-02,2024-10-21,Ahmedabad,Main,2.55
I001894,P05179,B04474,768,155,2023-03-07,2024-05-31,Hyderabad,Transit,9.74
I001895,P09571,B00596,128,143,2023-12-14,2026-08-04,Delhi,Secondary,4.92
I001896,P03670,B04072,115,189,2023-06-11,2025-04-23,Hyderabad,Main,9.19
I001897,P04095,B03533,220,101,2023-10-17,2025-04-11,Hyderabad,Secondary,6.34
I001898,P08194,B02960,929,51,2023-06-14,2025-05-17,Hyderabad,Main,4.8
I001899,P08851,B01804,33,91,2023-09-06,2025-07-18,Bangalore,Main,1.85
I001900,P05521,B01872,336,108,2023-04-05,2026-03-07,Pune,Secondary,6.13
I001901,P00699,B03623,437,96,2023-08-30,2025-07-09,Kolkata,Transit,1.87
I001902,P02023,B02253,805,65,2023-01-06,2025-10-15,Chennai,Secondary,2.8
I001903,P06613,B04419,688,199,2023-03-29,2025-07-24,Bangalore,Secondary,7.72
I001904,P01106,B04284,184,72,2023-02-25,2024-11-14,Bangalore,Transit,5.36
I001905,P06640,B04504,856,62,2023-12-25,2025-01-28,Bangalore,Transit,0.4
I001906,P03085,B01654,710,77,2023-05-18,2026-03-01,Pune,Main,1.71
I001907,P04952,B02571,592,82,2023-12-09,2025-05-21,Kolkata,Main,7.05
I001908,P06560,B04178,938,70,2023-03-04,2025-06-08,Pune,Secondary,8.1
I001909,P00854,B02816,577,200,2023-08-20,2026-06-24,Hyderabad,Main,7.27
I001910,P07679,B03953,622,148,2023-11-23,2025-05-15,Pune,Transit,4.93
I001911,P06547,B02197,535,76,2023-02-07,2024-08-21,Kolkata,Transit,5.06
I001912,P00024,B00583,421,175,2023-04-08,2025-02-08,Mumbai,Secondary,4.24
I001913,P09561,B01936,323,92,2023-05-01,2025-03-17,Bangalore,Transit,3.34
I001914,P05139,B04269,249,98,2023-07-16,2025-12-26,Hyderabad,Main,4.34
I001915,P00963,B02969,496,180,2023-10-12,2025-09-14,Chennai,Transit,8.21
I001916,P03400,B00255,724,197,2023-08-25,2025-07-23,Delhi,Secondary,0.64
I001917,P03765,B01293,587,129,2023-07-28,2025-04-08,Chennai,Transit,7.18
I001918,P06750,B03391,168,158,2023-07-22,2026-01-07,Ahmedabad,Secondary,6.24
I001919,P07331,B02746,985,197,2023-09-10,2025-12-15,Chennai,Main,5.04
I001920,P08450,B01143,77,120,2023-01-18,2025-03-04,Ahmedabad,Transit,2.37
I001921,P01670,B00344,793,124,2023-01-08,2025-06-06,Kolkata,Main,3.03
I001922,P05717,B01632,308,173,2023-12-08,2026-05-17,Hyderabad,Secondary,0.99
I001923,P09389,B02615,546,90,2023-02-24,2024-09-21,Bangalore,Transit,1.34
I001924,P02881,B00549,976,73,2023-10-23,2025-08-13,Mumbai,Main,0.48
I001925,P09071,B04876,420,155,2023-04-03,2026-03-25,Hyderabad,Main,7.26
I001926,P03076,B03335,739,169,2023-10-12,2025-01-05,Mumbai,Secondary,4.28
I001927,P07173,B01228,335,169,2023-07-04,2026-06-14,Chennai,Main,6.24
I001928,P08418,B02195,249,52,2023-11-15,2026-07-21,Ahmedabad,Main,5.14
I001929,P02098,B02614,199,114,2023-02-19,2024-03-02,Pune,Secondary,8.96
I001930,P02385,B03702,824,145,2023-08-15,2025-08-21,Ahmedabad,Secondary,2.89
I001931,P03230,B02282,590,51,2023-11-10,2026-10-04,Mumbai,Secondary,2.16
I001932,P05792,B00033,875,114,2023-10-03,2026-03-30,Pune,Secondary,5.02
I001933,P09764,B03219,609,182,2023-06-30,2025-02-17,Mumbai,Transit,0.7
I001934,P09559,B02251,921,135,2023-06-26,2025-10-18,Chennai,Main,1.53
I001935,P03755,B04146,561,102,2023-01-21,2026-01-02,Ahmedabad,Secondary,0.78
I001936,P07643,B02002,120,80,2023-05-08,2025-11-28,Mumbai,Secondary,1.16
I001937,P08085,B03543,594,172,2023-11-19,2025-01-29,Pune,Secondary,3.02
I001938,P00314,B00534,90,156,2023-09-03,2026-04-10,Hyderabad,Secondary,1.7
I001939,P03805,B04788,361,180,2023-06-19,2025-03-09,Pune,Secondary,0.96
I001940,P02561,B00141,4,139,2023-11-10,2026-01-22,Mumbai,Secondary,2.53
I001941,P06558,B02044,47,101,2023-04-09,2025-07-18,Kolkata,Main,4.66
I001942,P01409,B03260,626,71,2023-05-04,2025-03-16,Mumbai,Main,8.06
I001943,P02045,B00592,722,199,2023-04-14,2025-10-05,Kolkata,Transit,3.5
I001944,P01543,B03900,735,193,2023-07-19,2025-07-25,Pune,Transit,2.7
I001945,P05999,B04228,8,58,2023-05-06,2025-10-27,Ahmedabad,Main,6.64
I001946,P09970,B02923,731,174,2023-07-18,2026-01-01,Bangalore,Main,5.23
I001947,P00118,B00304,298,185,2023-11-26,2026-09-29,Pune,Secondary,4.81
I001948,P06247,B02106,714,193,2023-05-01,2024-08-10,Bangalore,Transit,6.08
I001949,P07337,B03422,482,144,2023-11-03,2025-01-09,Hyderabad,Main,6.93
I001950,P03858,B02988,961,145,2023-04-07,2025-04-25,Hyderabad,Transit,2.13
I001951,P06649,B00609,590,158,2023-10-16,2026-05-13,Ahmedabad,Main,1.27
I001952,P00005,B03314,656,152,2023-11-30,2025-03-25,Delhi,Main,2.18
I001953,P02592,B01494,831,149,2023-12-15,2025-11-28,Mumbai,Transit,4.01
I001954,P02356,B00168,801,97,2023-02-26,2024-03-15,Bangalore,Secondary,5.56
I001955,P05766,B02334,36,53,2023-12-27,2025-04-25,Kolkata,Main,9.91
I001956,P07476,B00092,262,133,2023-08-30,2025-07-14,Delhi,Transit,4.56
I001957,P06268,B00847,747,157,2023-02-02,2026-01-30,Kolkata,Main,1.22
I001958,P03232,B04816,401,109,2023-11-06,2024-12-02,Hyderabad,Transit,5.17
I001959,P07687,B01799,629,200,2023-11-23,2026-07-22,Ahmedabad,Transit,5.45
I001960,P09138,B03697,644,173,2023-09-03,2025-10-05,Bangalore,Secondary,3.87
I001961,P06838,B01825,987,195,2023-02-07,2025-08-15,Kolkata,Secondary,7.1
I001962,P01787,B02430,413,81,2023-03-18,2026-02-10,Bangalore,Secondary,8.42
I001963,P05122,B00494,122,135,2023-11-25,2025-05-08,Pune,Main,5.57
I001964,P07484,B03632,249,65,2023-03-03,2025-12-06,Mumbai,Transit,4.81
I001965,P00257,B03721,689,128,2023-10-13,2026-03-25,Kolkata,Transit,1.45
I001966,P05097,B02319,635,82,2023-06-29,2024-08-23,Chennai,Secondary,0.44
I001967,P06254,B00738,473,135,2023-06-04,2024-12-23,Mumbai,Main,4.72
I001968,P04187,B04411,407,90,2023-03-28,2025-08-20,Bangalore,Main,4.86
I001969,P09953,B02304,110,99,2023-11-30,2026-01-08,Kolkata,Main,7.64
I001970,P04311,B03540,997,186,2023-09-10,2024-10-28,Delhi,Secondary,0.82
I001971,P02032,B00715,607,65,2023-04-08,2025-09-21,Ahmedabad,Secondary,9.92
I001972,P05041,B00354,855,86,2023-03-20,2025-01-13,Hyderabad,Main,0.51
I001973,P09608,B00696,762,118,2023-09-03,2024-12-03,Delhi,Transit,6.31
I001974,P08620,B01900,762,166,2023-05-27,2025-05-27,Ahmedabad,Transit,2.61
I001975,P05651,B00970,392,104,2023-05-01,2024-11-30,Mumbai,Main,7.88
I001976,P02933,B03660,599,135,2023-04-04,2024-11-21,Bangalore,Main,1.01
I001977,P05205,B01337,373,57,2023-08-03,2025-03-17,Pune,Secondary,8.7
I001978,P06365,B02086,963,77,2023-04-19,2026-01-16,Delhi,Transit,8.56
I001979,P02414,B01075,799,114,2023-04-09,2025-07-31,Mumbai,Transit,3.92
I001980,P01072,B04090,883,193,2023-02-10,2024-07-28,Pune,Transit,8.9
I001981,P00428,B04895,561,60,2023-04-05,2025-04-01,Ahmedabad,Secondary,3.93
I001982,P07612,B03980,830,87,2023-04-03,2025-05-11,Hyderabad,Transit,6.36
I001983,P09638,B04908,976,192,2023-08-15,2025-06-28,Mumbai,Main,2.28
I001984,P00965,B04272,684,108,2023-10-06,2025-01-30,Hyderabad,Main,0.31
I001985,P07806,B00886,561,54,2023-06-29,2025-08-19,Pune,Main,6.51
I001986,P00550,B01879,169,81,2023-04-11,2024-06-19,Chennai,Transit,5.79
I001987,P08061,B02755,938,68,2023-04-18,2025-11-28,Ahmedabad,Secondary,4.12
I001988,P04554,B03893,423,124,2023-11-15,2025-07-05,Delhi,Secondary,9.79
I001989,P02194,B03390,872,88,2023-03-09,2025-01-21,Kolkata,Secondary,1.93
I001990,P07136,B00830,755,181,2023-02-12,2024-04-24,Chennai,Transit,4.62
I001991,P07629,B04348,930,57,2023-03-23,2025-07-15,Bangalore,Secondary,8.5
I001992,P02846,B03059,431,147,2023-11-19,2025-11-08,Hyderabad,Transit,3.29
I001993,P00202,B00364,592,200,2023-06-12,2025-01-18,Pune,Transit,6.55
I001994,P05226,B02899,470,81,2023-08-11,2026-02-07,Ahmedabad,Main,9.95
I001995,P01507,B03662,39,110,2023-10-24,2024-12-10,Delhi,Secondary,0.39
I001996,P01539,B01171,149,133,2023-09-02,2026-06-19,Chennai,Main,7.03
I001997,P01512,B04793,391,120,2023-03-30,2024-05-09,Pune,Secondary,8.09
I001998,P04932,B00426,90,59,2023-04-30,2025-04-23,Hyderabad,Transit,3.13
I001999,P01895,B00584,639,84,2023-10-17,2025-01-09,Kolkata,Main,7.36
I002000,P02152,B00210,114,198,2023-04-17,2025-11-11,Chennai,Transit,7.51
I002001,P04490,B01105,546,133,2023-05-09,2025-01-07,Pune,Transit,4.14
I002002,P05346,B00985,281,101,2023-03-05,2024-04-02,Chennai,Transit,5.65
I002003,P01772,B04280,721,183,2023-06-28,2026-04-14,Bangalore,Secondary,3.11
I002004,P07900,B03783,533,168,2023-05-27,2025-11-29,Delhi,Transit,6.32
I002005,P07102,B03030,796,59,2023-01-01,2025-06-17,Mumbai,Main,8.49
I002006,P04844,B04516,11,132,2023-11-24,2025-02-01,Pune,Transit,6.5
I002007,P03813,B04955,333,152,2023-06-05,2024-09-05,Hyderabad,Main,3.34
I002008,P02994,B04415,821,93,2023-11-12,2026-01-19,Ahmedabad,Secondary,4.07
I002009,P02679,B02701,892,101,2023-03-03,2024-03-16,Kolkata,Secondary,7.46
I002010,P07777,B02935,992,74,2023-10-17,2026-03-19,Pune,Secondary,7.06
I002011,P06715,B03889,671,85,2023-02-16,2025-12-13,Chennai,Transit,6.1
I002012,P09789,B01126,424,94,2023-10-19,2025-08-08,Bangalore,Main,7.58
I002013,P09781,B04873,863,184,2023-08-20,2025-10-02,Hyderabad,Main,4.77
I002014,P01815,B00642,249,192,2023-07-21,2024-08-27,Chennai,Secondary,7.33
I002015,P01431,B00054,466,116,2023-05-29,2025-05-08,Chennai,Main,1.52
I002016,P02657,B02416,517,169,2023-09-22,2026-06-28,Ahmedabad,Secondary,6.31
I002017,P05861,B02592,33,193,2023-11-01,2026-09-13,Ahmedabad,Transit,5.06
I002018,P02766,B01440,869,69,2023-06-12,2024-09-28,Pune,Transit,5.44
I002019,P06432,B03072,508,93,2023-01-18,2024-09-04,Ahmedabad,Main,6.08
I002020,P07454,B04085,901,100,2023-07-21,2026-01-08,Delhi,Main,1.3
I002021,P05095,B01538,542,154,2023-06-07,2025-03-26,Ahmedabad,Transit,6.6
I002022,P02397,B01321,823,177,2023-04-20,2025-12-28,Bangalore,Transit,3.14
I002023,P07506,B01124,9,160,2023-11-04,2025-05-12,Pune,Secondary,2.16
I002024,P09596,B02153,580,74,2023-02-20,2026-01-13,Mumbai,Transit,8.08
I002025,P06595,B03997,753,196,2023-07-03,2024-11-15,Ahmedabad,Transit,1.05
I002026,P00776,B01421,143,92,2023-11-22,2024-11-26,Hyderabad,Transit,1.07
I002027,P08963,B00546,563,148,2023-07-19,2026-02-12,Bangalore,Main,8.41
I002028,P00643,B02901,879,185,2023-11-16,2026-01-04,Bangalore,Main,6.76
I002029,P08298,B00590,682,77,2023-03-02,2025-03-02,Chennai,Secondary,3.88
I002030,P08310,B01411,524,132,2023-06-28,2025-05-04,Chennai,Transit,7.24
I002031,P02815,B02857,482,79,2023-10-15,2025-12-31,Bangalore,Secondary,1.65
I002032,P09380,B00390,326,56,2023-11-09,2026-04-01,Hyderabad,Secondary,3.64
I002033,P08998,B01384,182,198,2023-03-01,2025-04-16,Delhi,Secondary,2.57
I002034,P09180,B02851,932,163,2023-12-19,2025-11-19,Hyderabad,Main,9.72
I002035,P01133,B01392,683,95,2023-06-27,2026-02-23,Ahmedabad,Secondary,0.62
I002036,P05742,B03231,348,170,2023-12-19,2025-03-08,Ahmedabad,Secondary,5.55
I002037,P07904,B01119,532,168,2023-02-21,2024-10-03,Hyderabad,Transit,0.32
I002038,P04684,B02131,689,182,2023-11-10,2025-05-03,Delhi,Transit,6.68
I002039,P02611,B01337,554,104,2023-05-25,2025-11-09,Hyderabad,Secondary,5.34
I002040,P02713,B04875,507,151,2023-09-12,2026-03-08,Pune,Transit,3.3
I002041,P06133,B01453,559,159,2023-08-03,2024-10-06,Hyderabad,Main,1.28
I002042,P08801,B04556,202,66,2023-06-05,2024-06-27,Ahmedabad,Main,1.14
I002043,P06982,B02026,61,77,2023-02-21,2024-12-19,Ahmedabad,Transit,0.49
I002044,P00974,B00329,736,142,2023-07-13,2026-01-20,Bangalore,Main,9.64
I002045,P07454,B03768,241,154,2023-02-12,2025-01-12,Ahmedabad,Secondary,1.49
I002046,P04865,B02798,35,159,2023-06-04,2025-08-19,Chennai,Main,7.5
I002047,P07497,B04784,910,95,2023-05-07,2025-05-09,Chennai,Transit,4.21
I002048,P08867,B02332,142,188,2023-11-26,2026-09-13,Mumbai,Secondary,9.87
I002049,P00073,B03598,704,79,2023-02-12,2026-02-10,Delhi,Main,2.3
I002050,P08567,B03337,770,185,2023-12-01,2025-02-25,Hyderabad,Secondary,4.6
I002051,P06128,B00755,842,60,2023-03-09,2025-12-30,Mumbai,Secondary,6.74
I002052,P03457,B03272,149,152,2023-07-09,2025-11-25,Delhi,Secondary,9.45
I002053,P03055,B03755,94,134,2023-02-04,2024-03-24,Bangalore,Main,6.78
I002054,P08692,B01377,715,131,2023-06-26,2025-01-13,Chennai,Transit,4.3
I002055,P09858,B02655,164,146,2023-06-08,2026-06-03,Bangalore,Transit,0.61
I002056,P09159,B03090,222,140,2023-03-03,2024-03-02,Hyderabad,Secondary,9.65
I002057,P05719,B01916,195,175,2023-08-09,2025-05-07,Chennai,Transit,5.83
I002058,P01315,B02817,93,134,2023-06-10,2026-05-09,Ahmedabad,Main,6.03
I002059,P04491,B03394,440,51,2023-03-08,2024-05-15,Chennai,Transit,1.3
I002060,P00008,B03421,606,128,2023-12-09,2025-10-21,Pune,Secondary,6.16
I002061,P08211,B03802,869,123,2023-05-26,2025-10-28,Bangalore,Main,2.11
I002062,P07655,B01013,657,186,2023-02-20,2024-08-06,Bangalore,Main,8.47
I002063,P04837,B03723,596,75,2023-09-02,2025-12-01,Hyderabad,Transit,7.15
I002064,P01732,B00190,266,154,2023-09-15,2026-08-05,Delhi,Main,3.85
I002065,P00198,B01603,367,59,2023-05-25,2026-03-26,Bangalore,Secondary,2.36
I002066,P04394,B03997,945,164,2023-07-09,2026-05-06,Delhi,Transit,9.38
I002067,P01251,B00549,617,97,2023-05-20,2025-03-16,Kolkata,Main,4.25
I002068,P08906,B04361,227,173,2023-04-03,2024-09-01,Chennai,Transit,4.55
I002069,P02279,B02749,719,135,2023-06-26,2026-03-12,Chennai,Secondary,1.96
I002070,P01789,B03431,370,198,2023-06-28,2026-03-18,Kolkata,Transit,3.29
I002071,P03265,B00346,643,156,2023-05-30,2026-04-12,Mumbai,Transit,8.15
I002072,P04351,B01941,160,94,2023-09-15,2026-06-02,Hyderabad,Main,4.49
I002073,P03524,B03992,999,94,2023-06-08,2025-08-15,Ahmedabad,Transit,6.54
I002074,P09170,B03927,905,155,2023-01-10,2026-01-03,Pune,Main,3.12
I002075,P02302,B01151,979,58,2023-03-31,2024-07-13,Chennai,Main,1.06
I002076,P09065,B02180,951,114,2023-02-05,2024-04-16,Bangalore,Secondary,1.18
I002077,P04992,B02298,355,79,2023-10-08,2025-02-17,Delhi,Main,5.65
I002078,P06009,B00221,17,185,2023-03-30,2025-01-21,Pune,Main,6.08
I002079,P01772,B00823,531,148,2023-07-05,2025-06-20,Mumbai,Secondary,8.73
I002080,P06423,B03674,318,190,2023-04-28,2025-08-22,Kolkata,Secondary,2.46
I002081,P07800,B01976,701,85,2023-02-25,2025-05-03,Hyderabad,Transit,9.46
I002082,P08660,B01377,596,77,2023-01-05,2025-06-16,Kolkata,Main,7.69
I002083,P09857,B04268,620,95,2023-10-18,2025-10-09,Kolkata,Main,6.27
I002084,P02059,B02662,434,101,2023-08-30,2025-05-15,Delhi,Main,4.26
I002085,P00050,B02871,206,189,2023-11-26,2025-08-12,Pune,Main,9.45
I002086,P00463,B01304,227,67,2023-09-21,2025-12-22,Bangalore,Transit,2.8
I002087,P02902,B02302,932,53,2023-01-18,2025-01-19,Mumbai,Secondary,4.38
I002088,P08693,B00565,722,167,2023-03-19,2025-06-05,Ahmedabad,Secondary,7.66
I002089,P06102,B01124,191,72,2023-12-25,2026-05-15,Ahmedabad,Secondary,1.55
I002090,P02780,B00035,985,105,2023-08-09,2025-08-31,Hyderabad,Secondary,4.75
I002091,P02571,B02501,636,138,2023-08-05,2025-03-11,Bangalore,Main,9.99
I002092,P06806,B03540,391,74,2023-10-29,2025-03-24,Mumbai,Transit,3.55
I002093,P02033,B03033,513,101,2023-05-12,2024-11-22,Pune,Transit,8.33
I002094,P07043,B04046,940,176,2023-10-25,2024-12-13,Ahmedabad,Secondary,3.6
I002095,P02520,B01466,430,111,2023-06-06,2026-01-22,Ahmedabad,Transit,1.2
I002096,P06900,B04288,889,180,2023-12-12,2026-04-04,Mumbai,Main,8.67
I002097,P03619,B04589,129,102,2023-08-21,2025-01-28,Chennai,Transit,2.25
I002098,P01236,B01568,315,151,2023-02-23,2025-11-24,Chennai,Secondary,1.16
I002099,P00862,B03756,417,120,2023-02-17,2024-10-16,Delhi,Main,7.88
I002100,P08353,B00799,932,112,2023-09-06,2024-09-23,Chennai,Secondary,0.72
I002101,P05454,B01926,308,84,2023-02-11,2024-03-11,Ahmedabad,Transit,2.99
I002102,P01325,B01155,506,73,2023-07-28,2024-08-04,Delhi,Transit,4.6
I002103,P02113,B02131,469,51,2023-10-18,2026-06-07,Bangalore,Main,6.2
I002104,P02834,B00708,126,119,2023-09-22,2026-03-26,Pune,Main,1.27
I002105,P02253,B03619,294,113,2023-02-12,2024-04-20,Bangalore,Secondary,1.4
I002106,P02383,B02184,939,180,2023-10-26,2025-08-26,Bangalore,Main,1.51
I002107,P08497,B02612,700,119,2023-11-04,2026-07-03,Pune,Secondary,3.46
I002108,P06246,B01208,71,164,2023-01-20,2025-03-28,Pune,Main,3.43
I002109,P09838,B04809,256,97,2023-07-25,2025-07-12,Chennai,Transit,4.82
I002110,P05916,B04820,938,105,2023-11-07,2026-04-04,Kolkata,Transit,1.09
I002111,P09486,B04590,84,163,2023-04-02,2026-03-28,Mumbai,Transit,2.03
I002112,P02654,B03630,247,176,2023-05-09,2025-01-06,Hyderabad,Main,6.39
I002113,P06966,B04326,74,65,2023-02-16,2024-07-11,Chennai,Secondary,6.41
I002114,P08477,B01753,925,134,2023-03-01,2025-05-30,Ahmedabad,Transit,7.62
I002115,P02674,B02869,282,69,2023-11-08,2026-01-12,Bangalore,Main,1.41
I002116,P02683,B04994,318,76,2023-12-26,2025-03-22,Bangalore,Main,1.0
I002117,P09977,B04021,730,180,2023-10-04,2025-07-12,Chennai,Main,2.08
I002118,P07513,B03481,479,110,2023-10-11,2025-01-12,Kolkata,Transit,7.42
I002119,P08652,B00633,209,117,2023-11-23,2026-06-15,Mumbai,Main,6.66
I002120,P04368,B00757,574,121,2023-09-25,2026-08-26,Kolkata,Main,1.51
I002121,P06264,B00626,49,145,2023-03-05,2024-11-20,Bangalore,Transit,0.47
I002122,P09841,B01702,586,95,2023-07-21,2025-12-28,Ahmedabad,Transit,7.1
I002123,P05871,B00816,738,50,2023-02-06,2025-06-07,Ahmedabad,Main,7.63
I002124,P02819,B03461,162,163,2023-04-09,2024-04-22,Mumbai,Transit,9.7
I002125,P08065,B03122,132,125,2023-09-27,2025-10-22,Kolkata,Main,7.27
I002126,P07500,B00315,399,166,2023-12-23,2024-12-26,Bangalore,Secondary,1.83
I002127,P09114,B00314,593,168,2023-09-04,2025-01-05,Chennai,Transit,3.78
I002128,P04899,B04094,231,115,2023-09-11,2026-08-03,Chennai,Secondary,9.8
I002129,P01310,B04357,971,89,2023-05-28,2024-08-08,Kolkata,Secondary,9.14
I002130,P06320,B03665,389,108,2023-07-25,2026-06-04,Ahmedabad,Secondary,3.94
I002131,P00243,B04080,692,142,2023-12-30,2026-09-28,Delhi,Secondary,4.44
I002132,P00956,B02212,19,74,2023-10-14,2026-04-06,Hyderabad,Main,2.24
I002133,P04246,B01808,617,176,2023-04-21,2025-11-10,Chennai,Secondary,9.6
I002134,P07629,B03685,391,122,2023-12-09,2026-07-24,Mumbai,Transit,2.91
I002135,P04926,B02033,356,165,2023-04-21,2026-01-21,Delhi,Transit,6.31
I002136,P01443,B03692,299,200,2023-03-28,2025-12-10,Hyderabad,Main,1.33
I002137,P08086,B01666,821,152,2023-02-02,2025-06-25,Kolkata,Main,2.85
I002138,P08483,B01042,636,121,2023-02-04,2024-03-20,Ahmedabad,Transit,5.26
I002139,P09960,B04155,318,110,2023-05-26,2024-06-03,Chennai,Main,4.01
I002140,P00055,B02336,59,158,2023-12-21,2025-12-04,Bangalore,Secondary,6.02
I002141,P02063,B03820,127,62,2023-10-24,2026-06-15,Kolkata,Secondary,4.58
I002142,P02629,B03682,406,134,2023-05-25,2024-08-06,Ahmedabad,Transit,0.84
I002143,P02075,B01434,212,194,2023-11-02,2026-09-07,Pune,Transit,3.49
I002144,P08338,B02307,225,75,2023-07-29,2025-11-19,Pune,Transit,3.14
I002145,P00251,B04904,925,139,2023-12-13,2025-02-28,Pune,Secondary,5.56
I002146,P05994,B04581,512,100,2024-01-01,2026-05-13,Ahmedabad,Transit,7.65
I002147,P08562,B04284,684,50,2023-05-06,2024-07-14,Chennai,Transit,4.93
I002148,P07619,B04663,611,73,2023-12-15,2026-06-04,Kolkata,Transit,6.44
I002149,P01033,B03431,608,194,2023-07-16,2025-08-13,Ahmedabad,Transit,8.0
I002150,P05504,B03447,415,184,2023-08-10,2024-12-13,Delhi,Transit,1.28
I002151,P05626,B01000,953,61,2023-03-11,2026-01-01,Pune,Transit,8.9
I002152,P00957,B01709,193,66,2023-04-10,2024-05-24,Hyderabad,Secondary,6.85
I002153,P07345,B02657,617,131,2023-04-30,2024-08-09,Bangalore,Secondary,4.62
I002154,P08346,B01624,142,190,2023-07-19,2025-02-01,Hyderabad,Transit,1.72
I002155,P07203,B03158,531,183,2023-10-13,2025-01-26,Kolkata,Secondary,1.23
I002156,P02359,B01269,39,68,2023-12-23,2026-01-03,Hyderabad,Main,6.7
I002157,P01123,B00843,788,194,2023-07-05,2024-12-19,Hyderabad,Transit,9.37
I002158,P01566,B04692,12,108,2023-04-09,2025-10-27,Mumbai,Transit,3.74
I002159,P02768,B03394,30,109,2023-02-15,2024-08-14,Delhi,Transit,9.69
I002160,P00600,B04979,895,185,2023-07-03,2025-05-05,Bangalore,Main,3.04
I002161,P02471,B03026,25,98,2023-12-01,2025-07-15,Mumbai,Main,6.78
I002162,P08545,B01011,357,83,2023-11-24,2025-05-04,Ahmedabad,Main,2.75
I002163,P07304,B02682,538,158,2023-12-28,2026-01-07,Kolkata,Main,4.18
I002164,P09348,B02034,934,189,2023-09-25,2025-12-03,Hyderabad,Transit,9.69
I002165,P05352,B02607,397,151,2024-01-01,2025-03-13,Bangalore,Secondary,5.94
I002166,P04430,B02103,262,148,2023-02-09,2025-03-15,Chennai,Secondary,8.46
I002167,P09761,B02346,913,158,2023-05-11,2025-08-13,Mumbai,Transit,6.15
I002168,P06562,B04747,929,83,2023-01-22,2025-10-27,Pune,Secondary,0.63
I002169,P05474,B01105,6,126,2023-11-05,2025-10-14,Pune,Transit,3.05
I002170,P05388,B00606,940,169,2023-07-26,2025-06-29,Kolkata,Transit,0.44
I002171,P08813,B03607,912,102,2023-08-12,2024-08-19,Mumbai,Transit,1.42
